County,Population2022,FIPS,District,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12
ACCOMACK,33191,51001,2,Northumberland,Lancaster,Middlesex,Mathews,Northampton,,,,,,,
ALBEMARLE,114534,51003,5,CharlottesvilleCity,Nelson,Augusta,Rockingham,Greene,Orange,Louisa,Fluvanna,Buckingham,Nelson,,
ALEXANDRIACITY,155525,51510,8,Fairfax,Arlington,,,,,,,,,,
ALLEGHANY,14835,51005,6,Craig,Bath,Botetourt,CovingtonCity,Rockbridge,,,,,,,
AMELIA,13455,51007,5,PrinceEdward,Cumberland,Powhatan,Chesterfield,Dinwiddie,Nottoway,,,,,,
AMHERST,31589,51009,5,Rockbridge,Nelson,Appomattox,Campbell,Bedford,LynchburgCity,,,,,,
APPOMATTOX,16748,51011,5,Campbell,Amherst,Nelson,Buckingham,PrinceEdward,Charlotte,,,,,,
ARLINGTON,234000,51013,8,Fairfax,FallsChurchCity,AlexandriaCity,,,,,,,,,
AUGUSTA,78064,51015,6,Highland,Rockingham,Albemarle,Nelson,Rockbridge,Bath,StauntonCity,WaynesboroCity,,,,
BATH,4049,51017,6,Alleghany,Highland,Augusta,Rockbridge,,,,,,,,
BEDFORD,80848,51019,9,Roanoke,Botetourt,Rockbridge,Amherst,LynchburgCity,Campbell,Pittsylvania,Franklin,BedfordCity,,,
BLAND,6148,51021,9,Tazewell,Giles,Wythe,Pulaski,Smyth,,,,,,,
BOTETOURT,34135,51023,6,Craig,Alleghany,Rockbridge,Bedford,Roanoke,,,,,,,
BRISTOLCITY,16975,51520,9,Washington,,,,,,,,,,,
BRUNSWICK,15921,51025,4,Mecklenburg,Lunenburg,Nottoway,Dinwiddie,Greensville,,,,,,,
BUCHANAN,19352,51027,9,Russell,Tazewell,Dickenson,,,,,,,,,
BUCKINGHAM,16982,51029,5,Appomattox,Nelson,Albemarle,Fluvanna,Cumberland,PrinceEdward,,,,,,
BUENAVISTACITY,6591,51530,6,Rockbridge,,,,,,,,,,,
CAMPBELL,55141,51031,5,Bedford,LynchburgCity,Amherst,Appomattox,Charlotte,Halifax,Pittsylvania,,,,,
CAROLINE,31957,51033,7,Hanover,Spotsylvania,KingGeorge,Stafford,Essex,KingAndQueen,KingWilliam,,,,,
CARROLL,29147,51035,9,GalaxCity,Wythe,Pulaski,Floyd,Patrick,Grayson,,,,,,
CHARLESCTY,6605,51036,4,Henrico,NewKent,JamesCty,PrinceGeorge,Chesterfield,Surry,,,,,,
CHARLOTTE,11475,51037,5,Halifax,Campbell,Appomattox,PrinceEdward,Lunenburg,Mecklenburg,,,,,,
CHARLOTTESVILLECITY,45373,51540,5,Albemarle,,,,,,,,,,,
CHESAPEAKECITY,252488,51550,2,SuffolkCity,VirginiaBeachCity,PortsmouthCity,NorfolkCity,,,,,,,,
CHESTERFIELD,378408,51041,4,Amelia,Powhatan,RichmondCity,ColonialHeightsCity,HopewellCity,PrinceGeorge,Dinwiddie,CharlesCty,Goochland,Henrico,,
CLARKE,15266,51043,6,Frederick,Warren,Fauquier,Loudoun,,,,,,,,
COLONIALHEIGHTSCITY,18294,51570,4,Chesterfield,PrinceGeorge,PetersburgCity,Dinwiddie,,,,,,,,
COVINGTONCITY,5679,51580,6,Alleghany,,,,,,,,,,,
CRAIG,4847,51045,9,Giles,Montgomery,Roanoke,Botetourt,Alleghany,,,,,,,
CULPEPER,54381,51047,7,Madison,Rappahannock,Fauquier,Stafford,Spotsylvania,Orange,,,,,,
CUMBERLAND,9746,51049,5,Buckingham,Fluvanna,Goochland,Powhatan,Amelia,PrinceEdward,,,,,,
DANVILLECITY,42229,51590,5,Pittsylvania,,,,,,,,,,,
DICKENSON,13725,51051,9,Wise,Buchanan,Russell,,,,,,,,,
DINWIDDIE,28161,51053,4,Brunswick,Nottoway,Amelia,Chesterfield,PetersburgCity,ColonialHeightsCity,PrinceGeorge,Sussex,Greensville,,,
EMPORIACITY,5481,51595,4,Greensville,,,,,,,,,,,
ESSEX,10630,51057,1,Caroline,KingGeorge,Richmond,Lancaster,Middlesex,KingAndQueen,Caroline,Westmoreland,,,,
FAIRFAX,1138331,51059,11,FairfaxCity,FallsChurchCity,Loudoun,PrinceWilliam,Arlington,AlexandriaCity,,,,,,
FAIRFAXCITY,24835,51600,11,Fairfax,,,,,,,,,,,
FALLSCHURCHCITY,14586,51610,8,Fairfax,Arlington,,,,,,,,,,
FAUQUIER,74664,51061,10,Culpeper,Rappahannock,Warren,Clarke,Loudoun,PrinceWilliam,Stafford,,,,,
FLOYD,15619,51063,9,Pulaski,Carroll,Montgomery,Roanoke,Franklin,Patrick,,,,,,
FLUVANNA,28159,51065,5,Albemarle,Louisa,Goochland,Cumberland,Buckingham,,,,,,,
FRANKLIN,55074,51067,9,Floyd,Roanoke,Bedford,Pittsylvania,Henry,Patrick,,,,,,
FRANKLINCITY,8247,51620,2,Southampton,IsleOfWight,,,,,,,,,,
FREDERICK,95051,51069,6,Shenandoah,Warren,Clarke,WinchesterCity,,,,,,,,
FREDERICKSBURGCITY,28757,51630,7,Spotsylvania,Stafford,,,,,,,,,,
GALAXCITY,6730,51640,9,Grayson,Carroll,,,,,,,,,,
GILES,16453,51071,9,Bland,Craig,Pulaski,Montgomery,,,,,,,,
GLOUCESTER,39493,51073,1,KingWilliam,KingAndQueen,Middlesex,Mathews,York,Northampton,PoquosonCity,JamesCty,NewKent,KingWilliam,,
GOOCHLAND,26109,51075,5,Fluvanna,Louisa,Hanover,Henrico,Chesterfield,Powhatan,Cumberland,,,,,
GRAYSON,15343,51077,9,Washington,Smyth,Wythe,Carroll,GalaxCity,,,,,,,
GREENE,21107,51079,7,Albemarle,Rockingham,Page,Madison,Orange,,,,,,,
GREENSVILLE,11226,51081,4,Brunswick,Sussex,Dinwiddie,Southampton,EmporiaCity,,,,,,,
HALIFAX,33644,51083,5,Pittsylvania,Campbell,Charlotte,Mecklenburg,,,,,,,,
HAMPTONCITY,138037,51650,3,PoquosonCity,York,NewportNewsCity,NorfolkCity,PortsmouthCity,Northampton,Mathews,SuffolkCity,VirginiaBeachCity,,,
HANOVER,112938,51085,1,Louisa,Spotsylvania,Caroline,KingWilliam,NewKent,Henrico,Goochland,,,,,
HARRISONBURGCITY,51158,51660,6,Rockingham,,,,,,,,,,,
HENRICO,333962,51087,4,Goochland,Hanover,NewKent,CharlesCty,Chesterfield,RichmondCity,Powhatan,,,,,
HENRY,49906,51089,9,Patrick,Franklin,Pittsylvania,MartinsvilleCity,,,,,,,,
HIGHLAND,2301,51091,6,Bath,Augusta,,,,,,,,,,
HOPEWELLCITY,22962,51670,4,PrinceGeorge,Chesterfield,,,,,,,,,,
ISLEOFWIGHT,40151,51093,2,SuffolkCity,Southampton,Surry,FranklinCity,NewportNewsCity,NorfolkCity,PortsmouthCity,,,,,
JAMESCTY,81199,51095,1,CharlesCty,NewKent,Gloucester,York,WilliamsburgCity,Surry,PrinceGeorge,KingAndQueen,NewportNewsCity,,,
KINGANDQUEEN,6718,51097,1,Caroline,Essex,Middlesex,Gloucester,KingWilliam,JamesCty,NewKent,,,,,
KINGGEORGE,27856,51099,7,Stafford,Caroline,Westmoreland,Essex,,,,,,,,
KINGWILLIAM,18492,51101,1,Hanover,Caroline,KingAndQueen,Gloucester,NewKent,,,,,,,
LANCASTER,10750,51103,1,Northumberland,Richmond,Essex,Middlesex,Accomack,Northampton,,,,,,
LEE,21982,51105,9,Wise,Scott,,,,,,,,,,
LEXINGTONCITY,7457,51678,6,Rockbridge,,,,,,,,,,,
LOUDOUN,432085,51107,10,Clarke,Fauquier,Fairfax,PrinceWilliam,,,,,,,,
LOUISA,40116,51109,5,Albemarle,Orange,Spotsylvania,Hanover,Goochland,Fluvanna,,,,,,
LUNENBURG,12031,51111,5,Mecklenburg,Charlotte,PrinceEdward,Nottoway,Brunswick,,,,,,,
