Unnamed: 0,year,state,state_po,county_name,county_fips,office,candidate,party,candidatevotes,totalvotes,version,mode
11237,2000,VIRGINIA,VA,CHARLOTTE,51037,US PRESIDENT,AL GORE,DEMOCRAT,2017,4994,20220315,TOTAL
11238,2000,VIRGINIA,VA,CHARLOTTE,51037,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2855,4994,20220315,TOTAL
11241,2000,VIRGINIA,VA,CHESTERFIELD,51041,US PRESIDENT,AL GORE,DEMOCRAT,38638,110951,20220315,TOTAL
11242,2000,VIRGINIA,VA,CHESTERFIELD,51041,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,69924,110951,20220315,TOTAL
11245,2000,VIRGINIA,VA,CLARKE,51043,US PRESIDENT,AL GORE,DEMOCRAT,2166,5284,20220315,TOTAL
11246,2000,VIRGINIA,VA,CLARKE,51043,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2883,5284,20220315,TOTAL
11249,2000,VIRGINIA,VA,CRAIG,51045,US PRESIDENT,AL GORE,DEMOCRAT,851,2493,20220315,TOTAL
11250,2000,VIRGINIA,VA,CRAIG,51045,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1580,2493,20220315,TOTAL
11253,2000,VIRGINIA,VA,CULPEPER,51047,US PRESIDENT,AL GORE,DEMOCRAT,4364,12244,20220315,TOTAL
11254,2000,VIRGINIA,VA,CULPEPER,51047,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7440,12244,20220315,TOTAL
11257,2000,VIRGINIA,VA,CUMBERLAND,51049,US PRESIDENT,AL GORE,DEMOCRAT,1405,3507,20220315,TOTAL
11258,2000,VIRGINIA,VA,CUMBERLAND,51049,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1974,3507,20220315,TOTAL
11261,2000,VIRGINIA,VA,DICKENSON,51051,US PRESIDENT,AL GORE,DEMOCRAT,3951,7226,20220315,TOTAL
11262,2000,VIRGINIA,VA,DICKENSON,51051,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3122,7226,20220315,TOTAL
11265,2000,VIRGINIA,VA,DINWIDDIE,51053,US PRESIDENT,AL GORE,DEMOCRAT,4001,9136,20220315,TOTAL
11266,2000,VIRGINIA,VA,DINWIDDIE,51053,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4959,9136,20220315,TOTAL
11269,2000,VIRGINIA,VA,ESSEX,51057,US PRESIDENT,AL GORE,DEMOCRAT,1750,3831,20220315,TOTAL
11270,2000,VIRGINIA,VA,ESSEX,51057,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1995,3831,20220315,TOTAL
11273,2000,VIRGINIA,VA,FAIRFAX,51059,US PRESIDENT,AL GORE,DEMOCRAT,196501,413775,20220315,TOTAL
11274,2000,VIRGINIA,VA,FAIRFAX,51059,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,202181,413775,20220315,TOTAL
11277,2000,VIRGINIA,VA,FAUQUIER,51061,US PRESIDENT,AL GORE,DEMOCRAT,8296,23481,20220315,TOTAL
11278,2000,VIRGINIA,VA,FAUQUIER,51061,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14456,23481,20220315,TOTAL
11281,2000,VIRGINIA,VA,FLOYD,51063,US PRESIDENT,AL GORE,DEMOCRAT,1957,5739,20220315,TOTAL
11282,2000,VIRGINIA,VA,FLOYD,51063,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3423,5739,20220315,TOTAL
11285,2000,VIRGINIA,VA,FLUVANNA,51065,US PRESIDENT,AL GORE,DEMOCRAT,3431,8706,20220315,TOTAL
11286,2000,VIRGINIA,VA,FLUVANNA,51065,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4962,8706,20220315,TOTAL
11289,2000,VIRGINIA,VA,FRANKLIN,51067,US PRESIDENT,AL GORE,DEMOCRAT,7145,18829,20220315,TOTAL
11290,2000,VIRGINIA,VA,FRANKLIN,51067,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11225,18829,20220315,TOTAL
11293,2000,VIRGINIA,VA,FREDERICK,51069,US PRESIDENT,AL GORE,DEMOCRAT,7158,22392,20220315,TOTAL
11294,2000,VIRGINIA,VA,FREDERICK,51069,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14574,22392,20220315,TOTAL
11297,2000,VIRGINIA,VA,GILES,51071,US PRESIDENT,AL GORE,DEMOCRAT,3004,6820,20220315,TOTAL
11298,2000,VIRGINIA,VA,GILES,51071,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3574,6820,20220315,TOTAL
11301,2000,VIRGINIA,VA,GLOUCESTER,51073,US PRESIDENT,AL GORE,DEMOCRAT,4553,13699,20220315,TOTAL
11302,2000,VIRGINIA,VA,GLOUCESTER,51073,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,8718,13699,20220315,TOTAL
11305,2000,VIRGINIA,VA,GOOCHLAND,51075,US PRESIDENT,AL GORE,DEMOCRAT,3197,8777,20220315,TOTAL
11306,2000,VIRGINIA,VA,GOOCHLAND,51075,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5378,8777,20220315,TOTAL
11309,2000,VIRGINIA,VA,GRAYSON,51077,US PRESIDENT,AL GORE,DEMOCRAT,2467,6852,20220315,TOTAL
11310,2000,VIRGINIA,VA,GRAYSON,51077,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4236,6852,20220315,TOTAL
11313,2000,VIRGINIA,VA,GREENE,51079,US PRESIDENT,AL GORE,DEMOCRAT,1774,5412,20220315,TOTAL
11314,2000,VIRGINIA,VA,GREENE,51079,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3375,5412,20220315,TOTAL
11317,2000,VIRGINIA,VA,GREENSVILLE,51081,US PRESIDENT,AL GORE,DEMOCRAT,2314,3906,20220315,TOTAL
11318,2000,VIRGINIA,VA,GREENSVILLE,51081,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1565,3906,20220315,TOTAL
11321,2000,VIRGINIA,VA,HALIFAX,51083,US PRESIDENT,AL GORE,DEMOCRAT,5963,14072,20220315,TOTAL
11322,2000,VIRGINIA,VA,HALIFAX,51083,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7732,14072,20220315,TOTAL
11325,2000,VIRGINIA,VA,HANOVER,51085,US PRESIDENT,AL GORE,DEMOCRAT,12044,41585,20220315,TOTAL
11326,2000,VIRGINIA,VA,HANOVER,51085,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,28614,41585,20220315,TOTAL
11329,2000,VIRGINIA,VA,HENRICO,51087,US PRESIDENT,AL GORE,DEMOCRAT,48645,114252,20220315,TOTAL
11330,2000,VIRGINIA,VA,HENRICO,51087,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,62887,114252,20220315,TOTAL
11333,2000,VIRGINIA,VA,HENRY,51089,US PRESIDENT,AL GORE,DEMOCRAT,8898,21463,20220315,TOTAL
11334,2000,VIRGINIA,VA,HENRY,51089,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,11870,21463,20220315,TOTAL
11337,2000,VIRGINIA,VA,HIGHLAND,51091,US PRESIDENT,AL GORE,DEMOCRAT,453,1437,20220315,TOTAL
11338,2000,VIRGINIA,VA,HIGHLAND,51091,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,942,1437,20220315,TOTAL
11341,2000,VIRGINIA,VA,ISLEOFWIGHT,51093,US PRESIDENT,AL GORE,DEMOCRAT,5162,12950,20220315,TOTAL
11342,2000,VIRGINIA,VA,ISLEOFWIGHT,51093,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7587,12950,20220315,TOTAL
11345,2000,VIRGINIA,VA,JAMESCITY,51095,US PRESIDENT,AL GORE,DEMOCRAT,9090,24492,20220315,TOTAL
11346,2000,VIRGINIA,VA,JAMESCITY,51095,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,14628,24492,20220315,TOTAL
11349,2000,VIRGINIA,VA,KINGANDQUEEN,51097,US PRESIDENT,AL GORE,DEMOCRAT,1387,2859,20220315,TOTAL
11350,2000,VIRGINIA,VA,KINGANDQUEEN,51097,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1423,2859,20220315,TOTAL
11353,2000,VIRGINIA,VA,KINGGEORGE,51099,US PRESIDENT,AL GORE,DEMOCRAT,2070,5852,20220315,TOTAL
11354,2000,VIRGINIA,VA,KINGGEORGE,51099,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3590,5852,20220315,TOTAL
11357,2000,VIRGINIA,VA,KINGWILLIAM,51101,US PRESIDENT,AL GORE,DEMOCRAT,2125,5769,20220315,TOTAL
11358,2000,VIRGINIA,VA,KINGWILLIAM,51101,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3547,5769,20220315,TOTAL
11361,2000,VIRGINIA,VA,LANCASTER,51103,US PRESIDENT,AL GORE,DEMOCRAT,1937,5455,20220315,TOTAL
11362,2000,VIRGINIA,VA,LANCASTER,51103,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3411,5455,20220315,TOTAL
11365,2000,VIRGINIA,VA,LEE,51105,US PRESIDENT,AL GORE,DEMOCRAT,4031,8748,20220315,TOTAL
11366,2000,VIRGINIA,VA,LEE,51105,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4551,8748,20220315,TOTAL
11369,2000,VIRGINIA,VA,LOUDOUN,51107,US PRESIDENT,AL GORE,DEMOCRAT,30938,75653,20220315,TOTAL
11370,2000,VIRGINIA,VA,LOUDOUN,51107,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,42453,75653,20220315,TOTAL
11373,2000,VIRGINIA,VA,LOUISA,51109,US PRESIDENT,AL GORE,DEMOCRAT,4309,10096,20220315,TOTAL
11374,2000,VIRGINIA,VA,LOUISA,51109,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5461,10096,20220315,TOTAL
11377,2000,VIRGINIA,VA,LUNENBURG,51111,US PRESIDENT,AL GORE,DEMOCRAT,2026,4591,20220315,TOTAL
11378,2000,VIRGINIA,VA,LUNENBURG,51111,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2510,4591,20220315,TOTAL
11381,2000,VIRGINIA,VA,MADISON,51113,US PRESIDENT,AL GORE,DEMOCRAT,1844,5027,20220315,TOTAL
11382,2000,VIRGINIA,VA,MADISON,51113,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2940,5027,20220315,TOTAL
11385,2000,VIRGINIA,VA,MATHEWS,51115,US PRESIDENT,AL GORE,DEMOCRAT,1499,4609,20220315,TOTAL
11386,2000,VIRGINIA,VA,MATHEWS,51115,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2951,4609,20220315,TOTAL
11389,2000,VIRGINIA,VA,MECKLENBURG,51117,US PRESIDENT,AL GORE,DEMOCRAT,4797,11654,20220315,TOTAL
11390,2000,VIRGINIA,VA,MECKLENBURG,51117,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6600,11654,20220315,TOTAL
11393,2000,VIRGINIA,VA,MIDDLESEX,51119,US PRESIDENT,AL GORE,DEMOCRAT,1671,4689,20220315,TOTAL
11394,2000,VIRGINIA,VA,MIDDLESEX,51119,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2844,4689,20220315,TOTAL
11397,2000,VIRGINIA,VA,MONTGOMERY,51121,US PRESIDENT,AL GORE,DEMOCRAT,11720,27160,20220315,TOTAL
11398,2000,VIRGINIA,VA,MONTGOMERY,51121,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,13991,27160,20220315,TOTAL
11401,2000,VIRGINIA,VA,NELSON,51125,US PRESIDENT,AL GORE,DEMOCRAT,2907,6145,20220315,TOTAL
11402,2000,VIRGINIA,VA,NELSON,51125,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2913,6145,20220315,TOTAL
11405,2000,VIRGINIA,VA,NEWKENT,51127,US PRESIDENT,AL GORE,DEMOCRAT,2055,6114,20220315,TOTAL
11406,2000,VIRGINIA,VA,NEWKENT,51127,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3934,6114,20220315,TOTAL
11409,2000,VIRGINIA,VA,NORTHAMPTON,51131,US PRESIDENT,AL GORE,DEMOCRAT,2340,4892,20220315,TOTAL
11410,2000,VIRGINIA,VA,NORTHAMPTON,51131,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2299,4892,20220315,TOTAL
11413,2000,VIRGINIA,VA,NORTHUMBERLAND,51133,US PRESIDENT,AL GORE,DEMOCRAT,2118,5605,20220315,TOTAL
11414,2000,VIRGINIA,VA,NORTHUMBERLAND,51133,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3362,5605,20220315,TOTAL
11417,2000,VIRGINIA,VA,NOTTOWAY,51135,US PRESIDENT,AL GORE,DEMOCRAT,2460,5492,20220315,TOTAL
11418,2000,VIRGINIA,VA,NOTTOWAY,51135,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,2870,5492,20220315,TOTAL
11421,2000,VIRGINIA,VA,ORANGE,51137,US PRESIDENT,AL GORE,DEMOCRAT,4126,10483,20220315,TOTAL
11422,2000,VIRGINIA,VA,ORANGE,51137,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5991,10483,20220315,TOTAL
11425,2000,VIRGINIA,VA,PAGE,51139,US PRESIDENT,AL GORE,DEMOCRAT,2726,7996,20220315,TOTAL
11426,2000,VIRGINIA,VA,PAGE,51139,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,5089,7996,20220315,TOTAL
11429,2000,VIRGINIA,VA,PATRICK,51141,US PRESIDENT,AL GORE,DEMOCRAT,2254,7385,20220315,TOTAL
11430,2000,VIRGINIA,VA,PATRICK,51141,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4901,7385,20220315,TOTAL
11433,2000,VIRGINIA,VA,PITTSYLVANIA,51143,US PRESIDENT,AL GORE,DEMOCRAT,7834,24255,20220315,TOTAL
11434,2000,VIRGINIA,VA,PITTSYLVANIA,51143,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,15760,24255,20220315,TOTAL
11437,2000,VIRGINIA,VA,POWHATAN,51145,US PRESIDENT,AL GORE,DEMOCRAT,2708,9711,20220315,TOTAL
11438,2000,VIRGINIA,VA,POWHATAN,51145,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6820,9711,20220315,TOTAL
11441,2000,VIRGINIA,VA,PRINCEEDWARD,51147,US PRESIDENT,AL GORE,DEMOCRAT,2922,6363,20220315,TOTAL
11442,2000,VIRGINIA,VA,PRINCEEDWARD,51147,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,3214,6363,20220315,TOTAL
11445,2000,VIRGINIA,VA,PRINCEGEORGE,51149,US PRESIDENT,AL GORE,DEMOCRAT,4182,10900,20220315,TOTAL
11446,2000,VIRGINIA,VA,PRINCEGEORGE,51149,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,6579,10900,20220315,TOTAL
11449,2000,VIRGINIA,VA,PRINCEWILLIAM,51153,US PRESIDENT,AL GORE,DEMOCRAT,44745,100511,20220315,TOTAL
11450,2000,VIRGINIA,VA,PRINCEWILLIAM,51153,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,52788,100511,20220315,TOTAL
11453,2000,VIRGINIA,VA,PULASKI,51155,US PRESIDENT,AL GORE,DEMOCRAT,5255,12697,20220315,TOTAL
11454,2000,VIRGINIA,VA,PULASKI,51155,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,7089,12697,20220315,TOTAL
11457,2000,VIRGINIA,VA,RAPPAHANNOCK,51157,US PRESIDENT,AL GORE,DEMOCRAT,1462,3513,20220315,TOTAL
11458,2000,VIRGINIA,VA,RAPPAHANNOCK,51157,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1850,3513,20220315,TOTAL
11461,2000,VIRGINIA,VA,RICHMOND,51159,US PRESIDENT,AL GORE,DEMOCRAT,1076,2949,20220315,TOTAL
11462,2000,VIRGINIA,VA,RICHMOND,51159,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,1784,2949,20220315,TOTAL
11465,2000,VIRGINIA,VA,ROANOKE,51161,US PRESIDENT,AL GORE,DEMOCRAT,16141,42817,20220315,TOTAL
11466,2000,VIRGINIA,VA,ROANOKE,51161,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,25740,42817,20220315,TOTAL
11469,2000,VIRGINIA,VA,ROCKBRIDGE,51163,US PRESIDENT,AL GORE,DEMOCRAT,2953,7827,20220315,TOTAL
11470,2000,VIRGINIA,VA,ROCKBRIDGE,51163,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,4522,7827,20220315,TOTAL
11473,2000,VIRGINIA,VA,ROCKINGHAM,51165,US PRESIDENT,AL GORE,DEMOCRAT,5834,23994,20220315,TOTAL
11474,2000,VIRGINIA,VA,ROCKINGHAM,51165,US PRESIDENT,GEORGE W. BUSH,REPUBLICAN,17482,23994,20220315,TOTAL
